CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate
23655406025084,0602730,00198,Active,Mendocino,Anderson Valley Unified,Anderson Valley Elementary,12300 Anderson Valley Way,12300 Anderson Valley Way,Boonville,95415-9101,CA,PO Box 830,PO Box 830,Boonville,95415-0830,CA,(707) 895-3010,,http://avelementary.org/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,39.029268,-123.38817,Katherine,Reddick,kreddick@avpanthers.org,,,,,,,2016-08-19
23656072330272,0633720,03304,Active,Mendocino,Round Valley Unified,Eel River Charter,76350 Main Street,76350 Main St.,Covelo,95428-9711,CA,PO Box 218,PO Box 218,Covelo,95428,CA,(707) 983-6946,,www.eelriverschool.net,1994-09-19,,1,0032,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,39.79403,-123.24974,Tina,Wilson,twilson@eelriverschool.net,Betty,Tuttle,btuttle@eelriverschool.net,,,,2015-06-18
23656150115055,0640300,12026,Active,Mendocino,Ukiah Unified,River Oak Charter,555 Leslie Street,555 Leslie St.,Ukiah,95482-5507,CA,555 Leslie Street,555 Leslie St.,Ukiah,95482-5507,CA,(707) 467-1855,,www.riveroakcharterschool.org,2007-08-27,,1,0910,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.146812,-123.20136,Rima,Meechan,rmeechan@mcoe.us,,,,,,,2015-06-18
23656150128280,0640300,13714,Active,Mendocino,Ukiah Unified,Ukiah Independent Study Academy,1000 Low Gap Road,1000 Low Gap Rd.,Ukiah,95482-3737,CA,925 North State Street,925 North State St.,Ukiah,95482,CA,(707) 472-5062,,www.uusd.net,2013-08-12,,0,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,39.162145,-123.22786,Holly,Rodgers,hrodgers@uusd.net,,,,,,,2015-08-19
23656152330413,0640300,08520,Active,Mendocino,Ukiah Unified,Redwood Academy of Ukiah,1059 North State Street,1059 North State St.,Ukiah,95482-3413,CA,1059 North State Street,1059 North State St.,Ukiah,95482-3413,CA,(707) 467-0500,,www.caredwoods.org,2000-09-01,,1,0271,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,7-12,7-12,N,0,39.164319,-123.21025,Elna,Gordon,egordon@redwoodacademy.org,,,,,,,2015-06-18
23656156117386,0640300,08521,Active,Mendocino,Ukiah Unified,Tree of Life Charter,241 Ford Road,241 Ford Rd.,Ukiah,95482-3440,CA,PO Box 966,PO Box 966,Ukiah,95482,CA,(707) 462-0913,,www.treeoflifeschool.net,2000-09-05,,1,0276,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-6,N,0,39.167503,-123.2059,Celeste,Beck,celestebeck@pacific.net,,,,,,,2015-06-18
23656230112300,0642560,11686,Active,Mendocino,Willits Unified,La Vida Charter,16201 North Highway 101,16201 North Highway 101,Willits,95490-8724,CA,PO Box 1461,PO Box 1461,Ukiah,95482,CA,(707) 459-6344,,www.lavidaschool.org,2006-09-05,,1,0822,Directly funded,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,39.379296,-123.34026,Ann,Kelly,aakelly@sbcglobal.net,,,,,,,2015-12-21
23656230125658,0642560,13021,Active,Mendocino,Willits Unified,Willits Elementary Charter,405 East Commercial Street,405 East Commercial St.,Willits,95490-3007,CA,405 East Commercial Street,405 East Commercial St.,Willits,95490-3007,CA,(707) 459-1400,,http://willitselementarycharter.com,2012-09-04,,1,1373,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,39.412172,-123.34759,Kara,McClellan,kara@willitsk5charter.org,,,,,,,2015-06-18
23656232330066,0642560,06971,Active,Mendocino,Willits Unified,Sanhedrin High,120 North Main Street,120 North Main St.,Willits,95490-3109,CA,1277 Blosser Lane,1277 Blosser Ln.,Willits,95490-3109,CA,(707) 459-4801,,www.willitsalternativeschools.net,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,N,0,39.414945,-123.35462,Robert,Chavez,robertchavez@willitsunified.com,,,,,,,2015-10-06
23656232330363,0642560,08213,Active,Mendocino,Willits Unified,Willits Charter,1431 South Main Street,1431 South Main St.,Willits,95490-4309,CA,1431 South Main Street,1431 South Main St.,Willits,95490-4309,CA,(707) 459-5506,,www.willitscharter.org,1999-09-01,,1,0166,Directly funded,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,0,39.396601,-123.3494,Jennifer,Lockwood,jlockwood@willitscharter.net,,,,,,,2016-04-20
23656236025282,0642560,06966,Active,Mendocino,Willits Unified,Baechtel Grove Middle,1150 Magnolia Street,1150 Magnolia St.,Willits,95490-4209,CA,1277 Blosser Lane,1277 Blosser Ln.,Willits,95490-4209,CA,(707) 459-2417,,http://bgms.willitsunified.com/,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,39.400346,-123.35304,Maria,Mungia,mariamungia@willitsunified.com,,,,,,,2016-07-28
23656236025290,0642560,06967,Active,Mendocino,Willits Unified,Brookside Elementary,Spruce and Lincoln Way,Spruce and Lincoln Way,Willits,95490,CA,Spruce and Lincoln Way,Spruce and Lincoln Way,Willits,95490,CA,(707) 459-5385,,http://brks.willitsunified.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-2,K-2,N,0,39.412565,-123.36122,Kathleen,Crossman,kathleencrossman@willitsunified.com,,,,,,,2016-07-28
23656236108369,0642560,09658,Active,Mendocino,Willits Unified,Blosser Lane Elementary,1275 Blosser Lane,1275 Blosser Ln.,Willits,95490-4163,CA,1277 Blosser Lane,1277 Blosser Ln.,Willits,95490-4163,CA,(707) 459-3232,,http://bles.willitsunified.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,3-5,3-5,N,0,39.398122,-123.35984,Nancy,Runburg,nancyrunburg@willitsunified.com,,,,,,,2016-07-28
24102490106518,0691020,10960,Active,Merced,Merced County Office of Education,Merced Scholars Charter,"1850 Wardrobe Avenue, Building H","1850 Wardrobe Ave., Bldg. H",Merced,95341-6407,CA,632 W 13th Street,632 W 13th St.,Merced,95341,CA,(209) 381-5165,,www.mercedscholars.org,2004-08-16,,1,0631,Locally funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,6-12,6-12,N,0,37.294487,-120.5089,Mark,Pintor,mpintor@mcoe.org,,,,,,,2016-04-20
24102492430056,0691020,09233,Active,Merced,Merced County Office of Education,Merced County Juvenile Court,2840 West Sandy Mush Road,2840 West Sandy Mush Rd.,Merced,95340,CA,2840 West Sandy Mush Road,2840 West Sandy Mush Rd.,Merced,95340,CA,(209) 381-1414,,www.mcoe.org,1980-07-01,,0,,,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,7-12,N,0,37.185893,-120.54333,Karla,Paul,kpaul@mcoe.org,,,,,,,2016-09-06
24102492430163,0691020,08737,Active,Merced,Merced County Office of Education,Valley Los Banos Community,715 West H Street,715 West H St.,Los Banos,93635-8540,CA,632 West 13th Street,632 West 13th St.,Merced,95341-5908,CA,(209) 827-5600,,www.mcoe.org,1999-08-25,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,6-12,10-12,N,0,37.067767,-120.85969,Lori,Gattuso,lgattuso@mcoe.org,,,,,,,2015-06-18
24102492430171,0691020,10961,Active,Merced,Merced County Office of Education,Valley Atwater Community,1800 Matthew Avenue,1800 Matthew Ave.,Atwater,95301-2079,CA,632 West 13th Street,632 West 13th St.,Merced,95341-5908,CA,(209) 381-4550,,www.mcoe.org,1999-01-25,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,6-12,7-12,N,0,37.347717,-120.60908,Carrie,Harkreader,chark@mcoe.org,,,,,,,2015-06-18
24102496068498,0691020,11944,Active,Merced,Merced County Office of Education,Floyd A. Schelby,6738 North Sultana Drive,6738 North Sultana Dr.,Livingston,95334-9733,CA,632 West 13th Street,632 West 13th St.,Merced,95341-5908,CA,(209) 394-1800,6301,www.mcoe.org,1980-07-01,,0,,,00,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,37.386806,-120.68624,Lissa,Mitchell,lmitchell@mcoe.org,,,,,,,2015-06-18
24102496069199,0691020,07147,Active,Merced,Merced County Office of Education,Merced County Special Education,632 West 13th Street,632 West 13th St.,Merced,95341-5908,CA,632 West 13th Street,632 West 13th St.,Merced,95341-5908,CA,(209) 381-6711,,www.mcoe.org,1980-07-01,,0,,,00,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,37.297828,-120.48785,Susan,Coston,scoston@mcoe.org,,,,,,,2015-06-18
24656310101402,0603420,11167,Active,Merced,Atwater Elementary,Atwater Senior Academy,1800 Juniper Avenue,1800 Juniper Ave.,Atwater,95301-1401,CA,1753 Fifth Street,1753 Fifth St.,Atwater,95301-3620,CA,(209) 357-6515,,www.aesd.edu,2003-08-18,,0,,,52,Elementary School District,69,District Community Day Schools,COMMDAY,Community Day School,INTMIDJR,Intermediate/Middle/Junior High,6-8,8,N,0,37.355539,-120.61176,Aaron,Delworth,adelworth@aesd.edu,,,,,,,2015-09-01
24656310126771,0603420,13051,Active,Merced,Atwater Elementary,Bellevue Senior Elementary,1020 East Bellevue Road,1020 East Bellevue Rd.,Atwater,95301-2314,CA,1020 East Bellevue Road,1020 East Bellevue Rd.,Atwater,95301-2314,CA,(209) 357-6140,,www.aesd.edu,2012-07-01,,0,,,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,7-8,7-8,N,0,37.36047,-120.5854,Linda,Lamerson,llamerson@aesd.edu,,,,,,,2016-08-24
24656316025324,0603420,00257,Active,Merced,Atwater Elementary,Bellevue Elementary,1020 East Bellevue Road,1020 East Bellevue Rd.,Atwater,95301-2314,CA,1020 East Bellevue Road,1020 East Bellevue Rd.,Atwater,95301-2314,CA,(209) 357-6140,,www.aesd.edu,1980-07-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,37.360431,-120.58536,Linda,Lamerson,llamerson@aesd.edu,,,,,,,2016-08-24
24656496025381,0603750,00344,Active,Merced,Ballico-Cressey Elementary,Ballico Elementary,11818 West Gregg Street,11818 West Gregg St.,Ballico,95303-0049,CA,11818 West Gregg Street,11818 West Gregg St.,Ballico,95303-0049,CA,(209) 632-5371,,www.ballicocressey.com,1980-07-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,3-8,3-8,N,0,37.45429,-120.70092,Bryan,Ballenger,bballenger@ballicocressey.com,,,,,,,2016-04-20
24656806025456,0612150,01368,Active,Merced,El Nido Elementary,El Nido Elementary,161 East El Nido Road,161 East El Nido Rd.,El Nido,95317-9762,CA,161 East El Nido Road,161 East El Nido Rd.,El Nido,95317-9762,CA,(209) 385-8420,,www.elnidoschool.org,1980-07-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.134686,-120.47741,Rae Ann,Jimenez,rjimenez@elnido.k12.ca.us,,,,,,,2015-06-18
24656982430080,0617220,09855,Active,Merced,Hilmar Unified,Irwin High (Continuation),20384 Geer Avenue,20384 Geer Ave.,Hilmar,95324-9398,CA,7807 North Lander Avenue,7807 North Lander Ave.,Hilmar,95324-9398,CA,(209) 667-0276,,www.hilmar.k12.ca.us/ichs/,1990-08-10,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,N,0,37.397136,-120.85777,Darlene,Carvalho,dcarvalho@hilmar.k12.ca.us,,,,,,,2015-06-18
24656982430106,0617220,07180,Active,Merced,Hilmar Unified,Colony Basic Skills Alternative High,20384 Geer Avenue,20384 Geer Ave.,Hilmar,95324-9722,CA,7807 North Lander Avenue,7807 North Lander Ave.,Hilmar,95324,CA,(209) 667-0277,,www.hilmar.k12.ca.us/ichs/,1997-08-25,,0,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,0,37.397136,-120.85777,Darlene,Carvalho,dcarvalho@hilmar.k12.ca.us,,,,,,,2015-06-18
24656982432409,0617220,02177,Active,Merced,Hilmar Unified,Hilmar High,7807 North Lander Avenue,7807 North Lander Ave.,Hilmar,95324-9398,CA,7807 North Lander Avenue,7807 North Lander Ave.,Hilmar,95324-9398,CA,(209) 667-5903,,www.hilmarusd.org,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.403697,-120.8502,Melissa,Brewer,mbrewer@hilmar.k12.ca.us,,,,,,,2016-08-19
24656986025464,0617220,02176,Active,Merced,Hilmar Unified,Elim Elementary,7677 North Lander Avenue,7677 North Lander Ave.,Hilmar,95324-9338,CA,7807 North Lander Avenue,7807 North Lander Ave.,Hilmar,95324,CA,(209) 667-1082,,www.hilmar.k12.ca.us/elim/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.403141,-120.85019,Lisa,Marques,lmarques@hilmar.k12.ca.us,,,,,,,2016-08-19
24656986025472,0617220,02178,Active,Merced,Hilmar Unified,Merquin Elementary,20316 West Third Avenue,20316 West Third Ave.,Stevinson,95374-0248,CA,7807 North Lander Avenue,7807 North Lander Ave.,Hilmar,95324-9398,CA,(209) 634-4938,,www.hilmarusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.327736,-120.85614,Veronica,Valdez-Garcia,vvaldez@hilmar.k12.ca.us,,,,,,,2016-08-19
24656986109458,0617220,09856,Active,Merced,Hilmar Unified,Hilmar Middle,7528 North Scholar Way,7528 North Scholar Way,Hilmar,95324-9655,CA,7807 North Lander Avenue,7807 North Lander Ave.,Hilmar,95324,CA,(209) 632-8847,,www.hilmarusd.org,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.399485,-120.85851,Amy,Fitzgerald,afitzgerald@hilmar.k12.ca.us,,,,,,,2015-08-06
24657302430064,0621270,09563,Active,Merced,Le Grand Union High,Granada High,12961 E. Le Grand Road,12961 E. Le Grand Rd.,Le Grand,95333-9737,CA,PO Box 984,PO Box 984,Planada,95365-0984,CA,(209) 382-0202,,www.lghs.k12.ca.us,1980-07-01,,0,,,56,High School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,P,0,37.22814,-120.25338,Donna,Alley,dalley@lghs.k12.ca.us,,,,,,,2016-09-06
24657302433001,0621270,02548,Active,Merced,Le Grand Union High,Le Grand High,12961 East Le Grand Road,12961 East Le Grand Rd.,Le Grand,95333-9737,CA,12961 East Le Grand Road,12961 East Le Grand Rd.,Le Grand,95333-9737,CA,(209) 389-9400,,www.lghs.k12.ca.us,1980-07-01,,0,,,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,37.228374,-120.25232,Javier,Martinez,jmartinez@lghs.k12.ca.us,,,,,,,2015-06-18
24657486025506,0622170,02637,Active,Merced,Livingston Union,Campus Park Elementary,1845 H Street,1845 H St.,Livingston,95334-1799,CA,1845 H Street,1845 H St.,Livingston,95334-1799,CA,(209) 394-5460,,www.livingstonusd.org,1980-07-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.379637,-120.71763,Jorge,Arteaga,jarteaga@livingstonusd.org,,,,,,,2015-08-12
24657486025514,0622170,02639,Active,Merced,Livingston Union,Livingston Middle,101 F Street,101 F St.,Livingston,95334-9588,CA,101 F Street,101 F St.,Livingston,95334-9588,CA,(209) 394-5450,,www.livingstonusd.org,2001-07-01,,0,,,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.382404,-120.74153,Victoria,Bradshaw,vbradshaw@livingstonusd.org,,,,,,,2016-07-22
24657486025522,0622170,08739,Active,Merced,Livingston Union,Selma Herndon Elementary,714 Prusso Street,714 Prusso St.,Livingston,95334-1199,CA,714 Prusso Street,714 Prusso St.,Livingston,95334-1199,CA,(209) 394-5480,,www.livingstonusd.org,2000-08-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.38405,-120.72674,Stella,Montanez,smontanez@livingstonusd.org,,,,,,,2015-08-12
24657486109649,0622170,09893,Active,Merced,Livingston Union,Yamato Colony Elementary,800 North Main Street,800 North Main St.,Livingston,95334-9304,CA,800 North Main Street,800 North Main St.,Livingston,95334-9304,CA,(209) 394-5470,,www.livingstonusd.org,1990-08-27,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.392408,-120.71801,Alma,De Luna,adeluna@livingstonusd.org,,,,,,,2016-07-22
24657550102624,0622740,10962,Active,Merced,Los Banos Unified,Lorena Falasco Elementary,310 Overland Avenue,310 Overland Ave.,Los Banos,93635-9708,CA,310 Overland Avenue,310 Overland Ave.,Los Banos,93635-9708,CA,(209) 827-5834,,www.losbanosusd.k12.ca.us,2004-07-08,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,37.073793,-120.84951,Jane,Brittell,jbrittell@losbanosusd.k12.ca.us,,,,,,,2015-06-18
24657550120923,0622740,12432,Active,Merced,Los Banos Unified,Pacheco High,200 North Ward Road,200 North Ward Rd.,Los Banos,93635-8831,CA,1717 South Eleventh Street,1717 South Eleventh St.,Los Banos,93635-4800,CA,(209) 826-3801,1025,www.losbanosusd.k12.ca.us,2010-08-16,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.069459,-120.8148,Daniel,Sutton,dsutton@losbanosusd.k12.ca.us,,,,,,,2015-06-18
24657550125575,0622740,13026,Active,Merced,Los Banos Unified,Green Valley Charter,1149 East B Street,1149 East B St.,Los Banos,93635-3705,CA,1149 East B Street,1149 East B St.,Los Banos,93635-1311,CA,(209) 675-7699,,www.foundationspublicschools.org,2012-08-14,,1,1385,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-6,N,0,37.066809,-120.83795,Andrew,Meza,gvcprincipal@foundationspublicschools.org,,,,,,,2016-08-31
24657550127597,0622740,13433,Active,Merced,Los Banos Unified,Mercey Springs Elementary,1900 South Mercey Springs Rd,1900 South Mercey Springs Rd,Los Banos,93635-4800,CA,1900 South Mercey Springs Rd,1900 South Mercey Springs Rd,Los Banos,93635-4800,CA,(209) 827-0302,,www.losbanosusd.k12.ca.us,2013-08-14,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,37.056987,-120.83527,Eric,Sowersby,esowersby@losbanosusd.k12.ca.us,,,,,,,2015-09-23
24657636025589,0624360,03654,Active,Merced,McSwain Union Elementary,McSwain Elementary,922 Scott Road,922 Scott Rd.,Merced,95341-8893,CA,922 Scott Road,922 Scott Rd.,Merced,95341-8893,CA,(209) 354-2700,,www.mcswain.k12.ca.us,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.301336,-120.5685,Laurie,Havel,lhavel@mcswain.k12.ca.us,,,,,,,2015-08-14
24657890107672,0624660,11689,Active,Merced,Merced Union High,Sequoia High,1900 G Street,1900 G St.,Merced,95340-5043,CA,PO Box 2147,PO Box 2147,Merced,95344,CA,(209) 385-8950,,www.ecec.muhsd.k12.ca.us,2004-08-16,,0,,,56,High School District,69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,9-12,9-12,N,0,37.300677,-120.47459,Paul,Bristow,pbristow@muhsd.org,,,,,,,2016-07-12
24657890127373,0624660,13098,Active,Merced,Merced Union High,El Capitan High,100 West Farmland,100 West Farmland,Merced,95348-8632,CA,PO Box 2247,PO Box 2247,Merced,95344,CA,(209) 384-5500,,www.muhsd.k12.ca.us,2013-08-19,,0,,,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,37.36843,-120.45941,Lee,Shaw,lshaw@muhsd.org,,,,,,,2016-07-19
24657892430205,0624660,08741,Active,Merced,Merced Union High,Buhach Colony High,1800 Buhach Road,1800 Buhach Rd.,Atwater,95301-4592,CA,PO Box 753,PO Box 753,Atwater,95301,CA,(209) 325-1400,,www.bchs.muhsd.k12.ca.us,2001-08-15,,0,,,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,37.313462,-120.57751,Lance,Morrow,lmorrow@muhsd.org,,,,,,,2016-07-19
24658216025787,0630840,04789,Active,Merced,Planada Elementary,Planada Elementary,9525 East Broderick Street,9525 East Broderick St.,Planada,95365-0236,CA,PO Box 236,PO Box 236,Planada,95365-0236,CA,(209) 382-0351,,www.planada.k12.ca.us,1980-07-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,0,37.28928,-120.31621,Ildefonso,Nava,inava@planada.org,,,,,,,2015-10-09
24658216120448,0630840,10555,Active,Merced,Planada Elementary,Cesar E. Chavez Middle,161 South Plainsburg Road,161 South Plainsburg Rd.,Planada,95365,CA,PO Box 236,PO Box 236,Planada,95365-0236,CA,(209) 382-0768,,www.planada.k12.ca.us,2002-08-19,,0,,,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.288283,-120.3248,Christopher,Busch,busch@planada.org,,,,,,,2016-05-23
24658620114074,0641880,12082,Active,Merced,Weaver Union,Farmdale Elementary,100 Winder Avenue,100 Winder Ave.,Merced,95341-8855,CA,100 Winder Avenue,100 Winder Ave.,Merced,95341-8855,CA,(209) 725-7170,,www.weaverusd.org,2007-07-23,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.2771,-120.482,Kathy,Moser,kmoser@weaverusd.org,,,,,,,2016-08-17
24658626025811,0641880,06871,Active,Merced,Weaver Union,Weaver Middle,3076 East Childs Avenue,3076 East Childs Ave.,Merced,95341-9583,CA,3076 East Childs Avenue,3076 East Childs Ave.,Merced,95341-9583,CA,(209) 723-2174,,www.weaverusd.k12.ca.us,1948-07-01,,0,,,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.287846,-120.43211,Elias,Villa,evilla@weaverusd.org,,,,,,,2016-08-17
24736192430031,0616323,08853,Active,Merced,Gustine Unified,Pioneer High (Continuation),501 North Avenue,501 North Ave.,Gustine,95322-1701,CA,501 North Avenue,501 North Ave.,Gustine,95322-1701,CA,(209) 854-6414,,www.gustineusd.org,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,11-12,N,0,37.260257,-121.0002,Adam,Cano,acano@gustineusd.org,,,,,,,2015-08-24
24736192431807,0616323,02033,Active,Merced,Gustine Unified,Gustine High,501 North Avenue,501 North Ave.,Gustine,95322-1116,CA,501 North Avenue,501 North Ave.,Gustine,95322-1116,CA,(209) 854-6414,,www.gustineusd.org,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.260257,-121.0002,John,Petrone,jpetrone@gustineusd.org,,,,,,,2015-08-24
24736196025720,0616323,02032,Active,Merced,Gustine Unified,Gustine Elementary,2806 West Grove Avenue,2806 West Grove Ave.,Gustine,95322-1803,CA,2806 West Grove Avenue,2806 West Grove Ave.,Gustine,95322-1803,CA,(209) 854-6496,,www.gustineusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.24833,-120.99884,Ismael,Munoz,imunoz@gustineusd.org,,,,,,,2015-08-24
24736196025746,0616323,09552,Active,Merced,Gustine Unified,Romero Elementary,13500 West Luis Road,13500 West Luis Rd.,Santa Nella,95322-9645,CA,13500 West Luis Road,13500 West Luis Rd.,Santa Nella,95322-9645,CA,(209) 854-6177,,www.gustineusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.092894,-121.01989,Lisa,Filippini,lfilippini@gustineusd.org,,,,,,,2015-08-24
24736196103766,0616323,09842,Active,Merced,Gustine Unified,Gustine Middle,28075 Sullivan Road,28075 Sullivan Rd.,Gustine,95322-9516,CA,28075 Sullivan Road,28075 Sullivan Rd.,Gustine,95322-9516,CA,(209) 854-5030,,www.gustineusd.org,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.24484,-120.99548,Michael,Bunch,mbunch@gustineusd.org,,,,,,,2015-08-24
24737266025480,0624630,03697,Closed,Merced,Merced River Union Elementary,Hopeton Elementary,2241 West Turlock Road,2241 West Turlock Rd.,Snelling,95369-9719,CA,4402 Oakdale Road,4402 Oakdale Rd.,Winton,95388-9755,CA,,,www.mrsd.us,1980-07-01,2016-06-30,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-3,K-3,N,0,37.492056,-120.52568,,,,,,,,,,2016-06-30
24737266025803,0624630,03698,Active,Merced,Merced River Union Elementary,Washington Elementary,4402 West Oakdale Road,4402 West Oakdale Rd.,Winton,95388-9755,CA,4402 West Oakdale Road,4402 West Oakdale Rd.,Winton,95388-9755,CA,(209) 358-5679,,www.mrsd.us,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,P-8,4-8,N,0,37.438549,-120.56842,Richard,Lopez,rlopez@mrsd.us,,,,,,,2016-06-30
